Feature,RandomForest,XGBoost,GradientBoosting,AdaBoost
PRODUCTO,0.05892159839622487,0.11512871,0.14845241702794068,0.12993751083827942
TIPO_CARROCERIA,0.03108964980395636,0.016346144,0.0020850650838579957,0.024761005354580038
COMBUSTIBLE,0.014332964185054716,0.031110298,0.002469327889804841,0.011317196146583738
Potencia,0.016182615705923116,0.024479669,0.004509642592910746,0.0
TRANS,0.00785040870928331,0.01415298,0.0,0.0
FORMA_PAGO,0.04358216310395728,0.070514806,0.059368656859641045,0.05604064764009656
ESTADO_CIVIL,0.019284233176507095,0.013673059,0.0,0.0
GENERO,0.01749064408072872,0.010272645,0.0,0.0
OcupaciOn,0.0126727904167517,0.012261061,0.0,0.0
Campanna1,0.021159447923106485,0.053174347,0.019401139865241494,0.0136612738920097
Campanna2,0.010688827894990859,0.014797954,0.0,0.0
Campanna3,0.014438323244204593,0.12463261,0.02355668138069309,0.032692424453261947
Zona_Renta,0.22270178539719046,0.25669044,0.44086135055252834,0.27029976662694544
REV_Garantia,0.014290419307602933,0.017882857,0.00023161708101088102,0.0
Averia_grave,0.030276507530095267,0.04020791,0.028802760454615273,0.030324144220096334
QUEJA_CAC,0.014760313323763426,0.03336516,0.006233293692738333,0.0
COSTE_VENTA,0.18492287406303265,0.06093774,0.15107707443849674,0.2476231008617574
km_anno,0.13984860894106527,0.030996429,0.09647442074075846,0.14587438508726971
Revisiones,0.02998281776873294,0.02878622,0.004996930547990387,0.01197127127068008
Edad_Cliente,0.02686345288849016,0.01120304,0.0,0.0
COMUNIDAD_AUT,0.06865955413933787,0.019385904,0.011479621791771566,0.02549727360843957
