ID_Date,Unique_visitors,SocialNetworks,DirectTraffic,OnlineMedia,Visit_Store,Sales,Dias_mes,Dia_inicio_mes,Dia_findemes,working_days,Dias_fines_semana,Easterweek,CINE,EXTERIOR,INTERNET,PRENSA,PRODUCCION,RADIO,REVISTAS,PlataformasVideo,VARIOS
202201,272382,1415,65373,63649,5516,1299,31,5,7,21,10,0,"59887,84",8200,"133666,43",0,6050,"2426,4","18013,5","338824,94","7531,030000000001"
202202,352581,546,77209,124861,6769,1752,28,1,7,20,8,0,"72291,56","94627,51","189275,94",10000,6700,0,"49110,909999999996","487537,14","6972,02"
202203,332955,5444,83178,104132,6249,1897,31,1,3,23,8,0,55000,0,"214037,62",4500,3700,0,0,75000,"15284,85"
202204,282169,1184,69335,74044,6507,1546,30,4,5,22,8,1,"10883,3",0,"194816,97",48800,21550,1140,40876,"610865,8899999999","12255,75"
202205,261829,8648,70972,44196,7183,1784,31,6,1,21,10,0,"74333,2",0,"130795,15999999997",11000,4900,"102851,86000000002","20775,75","393807,7400000001","7926,459999999999"
202206,201141,1082,61455,15600,5798,1818,30,2,3,22,8,0,37400,0,"67827,66",0,12250,"5526,49","75573,13",0,"5405,719999999999"
202207,206538,909,66835,11000,5784,1583,31,4,6,22,9,0,"58816,5",0,"61897,17",0,650,"158,4",2600,1500,"4574,5"
202208,259903,7511,78704,15205,5505,1142,31,7,2,22,9,0,0,0,"46362,01",13000,9750,"345,6",33860,"391987,8699999999","28716,26"
202209,261618,1773,58630,41832,5967,1541,30,3,4,22,8,0,"39483,3",0,"77470,41","9507,8",7850,"2686,8",14580,0,"6645,2699999999995"
202210,396642,2117,74040,162588,6611,1586,31,5,7,21,10,0,"45733,2",0,"271750,66000000003",0,20300,3162,"117786,97","804181,4000000003","14421,129999999997"
202211,249824,1718,67089,17594,6249,1562,30,1,2,22,8,0,"74333,2",0,"70091,03999999998",0,27959,3252,8800,0,"4426,65"
202212,209224,1942,55981,11118,5472,1817,31,3,5,23,8,0,0,0,"66845,23",0,10500,"2229,6",28100,0,"3559,48"
202301,251831,1690,59771,6990,4621,1072,31,6,1,21,10,0,"63683,3",0,"50163,95",0,8900,0,14800,"482881,93000000017","5555,34"
202302,260613,5689,55576,26555,5568,1633,28,2,1,20,8,0,"63333,2",0,"114879,96999999999",0,0,0,14300,"825672,87","11970,85"
202303,228014,9182,56232,5379,5450,1545,31,2,4,23,8,0,54010,0,"184172,5",1500,2450,"297,2",10800,0,"4099,509999999999"
202304,207833,2296,50402,11336,4447,1145,30,5,6,21,9,1,47300,0,"75768,76",25000,2600,"327,6",0,"506159,65","7193,5599999999995"
202305,230426,3816,56327,30434,6736,2107,31,7,2,22,9,0,61600,0,"91520,05000000002",13000,250,0,0,"561110,8899999998","9819,63"
202306,294687,1016,71304,81641,5859,1870,30,3,4,22,8,0,55000,0,"239780,98000000004",12000,2600,0,"90489,59999999999","1091468,01","11352,449999999999"
202307,220113,3421,79389,4336,5801,1696,31,5,7,21,10,0,59400,0,"30172,350000000002",0,0,0,0,1500,"4593,04"
202308,254381,19302,76983,539,5640,1447,31,1,3,23,8,0,35750,28000,"26169,05",0,100,0,0,"388190,4599999999","1758,47"
202309,195193,1136,67405,461,5874,1618,30,4,5,22,8,0,44000,0,"111929,43",18450,"16666,67",0,"25296,010000000002",0,"1703,8899999999999"
202310,290965,3652,114165,51725,6602,1704,31,6,1,21,10,0,60500,0,"260145,83999999997",10580,13000,0,"115076,68","1000382,6900000001","16594,89"
202311,242451,5144,122674,2336,7233,2147,30,2,3,22,8,0,0,0,"97596,11",0,25000,0,7020,0,"2258,21"
202312,203367,2896,110864,405,6311,2163,31,4,6,22,9,0,0,0,"27287,66","5500,02",0,0,11275,0,"1701,92"
202401,266488,5711,133517,16697,5827,1880,31,7,2,22,9,0,39600,0,"87252,06999999998",0,3000,0,0,"390701,94","6118,17"
202402,299866,15205,145599,25195,6976,2237,28,3,2,20,8,0,55950,0,"353887,25999999995",7000,0,0,10405,0,"2177,44"
202403,254981,35521,109026,2043,6506,2195,31,3,5,23,8,0,50230,0,"133448,08000000002",5000,500,0,0,"693066,72","3440,8"
202404,220584,992,98557,9755,6176,1663,30,6,7,20,10,1,"43591,89",0,"57885,36","14498,75",12400,0,"22497,45","574876,0499999999","4223,07"
202405,281652,2064,91138,34073,6453,1964,31,1,3,23,8,0,"109322,52",0,"173500,49000000002",0,0,0,19485,"534028,3500000002","5750,07"
202406,233019,875,78737,34020,5339,1784,30,4,5,22,8,0,"70613,15",0,"131323,96",5000,0,0,0,"845598,92","9471,220000000001"
202407,254096,2061,102704,36606,5873,1826,31,6,1,21,10,0,0,0,"63289,23000000001",2250,0,0,4000,8265,"5114,24"
202408,252850,2402,112416,13810,7218,2202,31,2,4,23,8,0,"61301,520000000004",0,"92527,73999999999",0,0,0,"10388,25","381489,7","2200,77"
202409,236865,1566,107521,5450,6540,1641,30,5,6,21,9,0,"53826,13500000001",0,"136639,27375","4218,59375","1987,5",0,"8346,9625","428503,335","4811,9725"
202410,244208,1726,100345,22472,6243,1863,31,2,4,23,8,0,46435,0,105945,2867,497,0,5684,415964,5400
202411,247005,1939,105747,19585,6469,1883,30,5,5,21,9,0,40391,0,99600,2334,621,0,7105,308556,4382
202412,245232,1908,106507,15329,6618,1897,31,7,6,22,9,0,50488,0,108678,2355,776,0,7881,383628,4199
